DOCID	DATESQL	DOC_NBR	cleanBody
943457	19760630000000	1976MOSCOW10336	
943458	19760630000000	1976MOSCOW10335	
943459	19760630000000	1976MOSCOW10323	
943460	19760630000000	1976MOSCOW10312	
943461	19760630000000	1976OTTAWA02675	
943462	19760630000000	1976MADRID05072	
943463	19760630000000	1976MANILA09380	
943464	19760630000000	1976MANILA09428	
943465	19760630000000	1976MADRID05075	
943466	19760630000000	1976MADRID05071	
943467	19760630000000	1976LONDON10196	
943468	19760630000000	1976LONDON10207	
943469	19760630000000	1976MADRAS01138	
943470	19760630000000	1976LONDON10210	
943471	19760630000000	1976LONDON10197	
943472	19760630000000	1976MADRID05052	
943473	19760630000000	1976MANILA09376	
943474	19760630000000	1976CAIRO08902	
943475	19760630000000	1976KATHMA02798	
943476	19760630000000	1976KUWAIT03144	
943477	19760630000000	1976JIDDA04632	
943478	19760630000000	1976CAIRO08910	
943479	19760630000000	1976CAIRO08874	
943480	19760630000000	1976MANILA09438	
943481	19760630000000	1976ADANA00187	
943482	19760630000000	1976BANGKO18986	
943483	19760630000000	1976BONN11069	
943484	19760630000000	1976BAMAKO02297	
943485	19760630000000	1976ANKARA05035	
943486	19760630000000	1976BUCHAR03827	
943487	19760630000000	1976LONDON10175	
943488	19760630000000	1976STATE162117	
943489	19760630000000	1976STATE162106	
943490	19760630000000	1976STATE161933	
943491	19760630000000	1976STATE161935	
943492	19760630000000	1976STATE161952	
943493	19760630000000	1976STATE162100	
943494	19760630000000	1976STATE162099	
943495	19760630000000	1976STATE161936	
943496	19760630000000	1976STATE161934	
943497	19760630000000	1976STATE162101	
943498	19760630000000	1976STATE162217	
943499	19760630000000	1976STATE162207	
943500	19760630000000	1976STATE162150	
943501	19760630000000	1976STATE162177	
943502	19760630000000	1976STATE162176	
943503	19760630000000	1976OTTAWA02679	
943504	19760630000000	1976PARIS19212	
943505	19760630000000	1976PRAGUE01873	
943506	19760630000000	1976QUEBEC00164	
943507	19760630000000	1976QUITO04662	
943508	19760630000000	1976PRETOR02901	
943509	19760630000000	1976PEKING01178	
943510	19760630000000	1976PARIS19209	
943511	19760630000000	1976RABAT03507	
943512	19760630000000	1976OTTAWA02686	
943513	19760630000000	1976OUAGAD01994	
943514	19760630000000	1976PARIS19104	
943515	19760630000000	1976PARIS19148	
943516	19760630000000	1976PANAMA04581	
943517	19760630000000	1976OUAGAD01993	
943518	19760630000000	1976PARIS19153	
943519	19760630000000	1976STATE161893	
943520	19760630000000	1976STATE161899	
943521	19760630000000	1976STATE161892	
943522	19760630000000	1976SINAI01206	
943523	19760630000000	1976RABAT03508	
943524	19760630000000	1976ROME10580	
943525	19760630000000	1976ROME10613	
943526	19760630000000	1976SANTIA06357	
943527	19760630000000	1976SANTIA06362	
943528	19760630000000	1976ROME10618	
943529	19760630000000	1976ROME10585	
943530	19760630000000	1976STATE162245	
943531	19760630000000	1976ATHENS06565	
943532	19760630000000	1976BANGKO18969	
943533	19760630000000	1976ANKARA05012	
943534	19760630000000	1976ADDIS07791	
943535	19760630000000	1976ADDIS07832	
943536	19760630000000	1976ACCRA04828	
943537	19760630000000	1976PARIS19130	
943538	19760630000000	1976ALEXAN00402	
943539	19760630000000	1976OTTAWA02674	
943540	19760630000000	1976BOGOTA06610	
943541	19760630000000	1976BOGOTA06615	
943542	19760630000000	1976BOGOTA06631	
943543	19760630000000	1976BOGOTA06633	
943544	19760630000000	1976BOGOTA06622	
943545	19760630000000	1976BOGOTA06612	
943546	19760630000000	1976BERN02920	
943547	19760630000000	1976BANGKO18998	
943548	19760630000000	1976BANJUL00667	
943549	19760630000000	1976BELGRA04325	
943550	19760630000000	1976BERN02907	
943551	19760630000000	1976BELGRA04333	
943552	19760630000000	1976BELGRA04306	
943553	19760630000000	1976BANJUL00666	
943554	19760630000000	1976BOGOTA06642	
943555	19760630000000	1976USBERL01354	
943556	19760630000000	1976USBERL01356	
943557	19760630000000	1976USBERL01358	
943558	19760630000000	1976USBERL01363	
943559	19760630000000	1976USBERL01357	
943560	19760630000000	1976USBERL01355	
943561	19760630000000	1976USBERL01347	
943562	19760630000000	1976USBERL01364	
943563	19760630000000	1976STATE162824	
943564	19760630000000	1976TEHRAN06654	
943565	19760630000000	1976TOKYO09834	
943566	19760630000000	1976USBERL01345	
943567	19760630000000	1976TOKYO09877	
943568	19760630000000	1976TEHRAN06659	
943569	19760630000000	1976STATE162844	
943570	19760630000000	1976USBERL01346	
943571	19760630000000	1976JIDDA04615	
943572	19760630000000	1976MOSCOW10320	
943573	19760630000000	1976KUALA03709	
943574	19760630000000	1976WARSAW04529	
943575	19760630000000	1976BARCEL00402	
943576	19760630000000	1976WARSAW04541	
943577	19760630000000	1976BRIDGE01204	
943578	19760630000000	1976BONN11121	
943579	19760630000000	1976WARSAW04549	
943580	19760630000000	1976LOME01417	
943581	19760630000000	1976JIDDA04640	
943582	19760630000000	1976KABUL04938	
943583	19760630000000	1976JAKART08609	
943584	19760630000000	1976KHARTO01891	
943585	19760630000000	1976GENEVA05142	
943586	19760630000000	1976GENEVA05145	
943587	19760630000000	1976HELSIN01368	
943588	19760630000000	1976ISLAMA06646	
943589	19760630000000	1976GENEVA05143	
943590	19760630000000	1976GENEVA05141	
943591	19760630000000	1976LIMA06016	
943592	19760630000000	1976LISBON04407	
943593	19760630000000	1976LISBON04379	
943594	19760630000000	1976LISBON04412	
943595	19760630000000	1976LIMA06007	
943596	19760630000000	1976KUALA03733	
943597	19760630000000	1976KUALA03744	
943598	19760630000000	1976LAGOS07512	
943599	19760630000000	1976LENING01039	
943600	19760630000000	1976LAGOS07521	
943601	19760630000000	1976LAGOS07511	
943602	19760630000000	1976KUALA03734	
943603	19760630000000	1976LENING01042	
943604	19760630000000	1976BUCHAR03842	
943605	19760630000000	1976BOGOTA06644	
943606	19760630000000	1976BUENOS04280	
943607	19760630000000	1976CAIRO08877	
943608	19760630000000	1976CALCUT01546	
943609	19760630000000	1976BUENOS04293	
943610	19760630000000	1976BUCHAR03843	
943611	19760630000000	1976BUCHAR03834	
943612	19760630000000	1976BRASIL05736	
943613	19760630000000	1976BRASIL05750	
943614	19760630000000	1976BRUSSE06434	
943615	19760630000000	1976BRASIL05752	
943616	19760630000000	1976BRASIL05758	
943617	19760630000000	1976BRASIL05751	
943618	19760630000000	1976BRASIL05747	
943619	19760630000000	1976BUCHAR03833	
943620	19760630000000	1976GENEVA05136	
943621	19760630000000	1976GABORO01238	
943622	19760630000000	1976GENEVA05110	
943623	19760630000000	1976GENEVA05116	
943624	19760630000000	1976GENEVA05134	
943625	19760630000000	1976GENEVA05133	
943626	19760630000000	1976GENEVA05112	
943627	19760630000000	1976GENEVA05109	
943628	19760630000000	1976FREETO01963	
943629	19760630000000	1976CARACA08035	
943630	19760630000000	1976CARACA08036	
943631	19760630000000	1976COLOMB02338	
943632	19760630000000	1976COPENH02170	
943633	19760630000000	1976DAKAR04179	
943634	19760630000000	1976COPENH02177	
943635	19760630000000	1976CARACA08039	
943636	19760630000000	1976FRANKF04923	
943637	19760630000000	1976STATE162806	
943638	19760630000000	1976NASSAU01029	
943639	19760630000000	1976STATE162467	
943640	19760630000000	1976PARIS19097	
943641	19760630000000	1976MOSCOW10344	
943642	19760630000000	1976STATE162680	
943643	19760630000000	1976BANGKO18997	
943644	19760630000000	1976ATHENS06549	
943645	19760630000000	1976BRASIL05753	
943646	19760630000000	1976STATE163011	
943647	19760630000000	1976STATE162941	
943648	19760630000000	1976TORONT00856	
943649	19760630000000	1976STATE163012	
943650	19760630000000	1976STATE163010	
943651	19760630000000	1976STATE162716	
943652	19760630000000	1976STATE162909	
943653	19760630000000	1976STATE162998	
943654	19760630000000	1976STATE163005	
943655	19760630000000	1976STATE163008	
943656	19760630000000	1976STATE163006	
943657	19760630000000	1976STATE162999	
943658	19760630000000	1976STATE162975	
943659	19760630000000	1976STATE163009	
943660	19760630000000	1976TORONT00857	
943661	19760630000000	1976STATE162888	
943662	19760630000000	1976STATE162893	
943663	19760630000000	1976STATE162873	
943664	19760630000000	1976STATE162870	
943665	19760630000000	1976STATE162896	
943666	19760630000000	1976STATE162849	
943667	19760630000000	1976STATE162850	
943668	19760630000000	1976STATE162861	
943669	19760630000000	1976STATE162933	
943670	19760630000000	1976STATE162919	
943671	19760630000000	1976STATE162921	
943672	19760630000000	1976STATE162922	
943673	19760630000000	1976STATE162920	
943674	19760630000000	1976STATE162897	
943675	19760630000000	1976STATE162901	
943676	19760630000000	1976STATE162903	
943677	19760630000000	1976STATE162906	
943678	19760630000000	1976STATE162910	
943679	19760630000000	1976STATE162905	
943680	19760630000000	1976STATE162902	
943681	19760630000000	1976STATE162915	
943682	19760630000000	1976STATE162848	
943683	19760630000000	1976TOKYO09863	
943684	19760630000000	1976TUNIS04649	
943685	19760630000000	1976UDORN05432	
943686	19760630000000	1976VANCOU00693	
943687	19760630000000	1976VIENNA05454	
943688	19760630000000	1976UDORN05431	
943689	19760630000000	1976VIENNA05461	
943690	19760630000000	1976UDORN05427	
943691	19760630000000	1976UDORN05426	
943692	19760630000000	1976UDORN05430	
943693	19760630000000	1976ZURICH00349	
943694	19760630000000	1976GENEVA05129	
943695	19760630000000	1976JAKART08614	
943696	19760630000000	1976CAIRO08885	
943697	19760630000000	1976WINNIP00217	
943698	19760630000000	1976WARSAW04530	
943699	19760630000000	1976WARSAW04531	
943700	19760630000000	1976WARSAW04539	
943701	19760630000000	1976WARSAW04537	
943702	19760630000000	1976WARSAW04550	
943703	19760630000000	1976WARSAW04546	
943704	19760630000000	1976WARSAW04538	
943705	19760630000000	1976WARSAW04533	
943706	19760630000000	1976COPENH02173	
943707	19760630000000	1976STATE162254	
943708	19760630000000	1976GENEVA05103	
943709	19760630000000	1976GENEVA05125	
943710	19760630000000	1976GENOA00406	
943711	19760630000000	1976GENEVA05104	
943712	19760630000000	1976BUENOS04291	
943713	19760630000000	1976JIDDA04638	
943714	19760630000000	1976BANGKO18992	
943715	19760630000000	1976BELGRA04308	
943716	19760630000000	1976BOGOTA06643	
943717	19760630000000	1976BELGRA04334	
943718	19760630000000	1976BELFAS00236	
943719	19760630000000	1976BANGKO18925	
943720	19760630000000	1976BRIDGE01205	
943721	19760630000000	1976ADDIS07831	
943722	19760630000000	1976MANILA09375	
943723	19760630000000	1976MANILA09381	
943724	19760630000000	1976MANILA09432	
943725	19760630000000	1976MANILA09383	
943726	19760630000000	1976MANILA09377	
943727	19760630000000	1976MADRID05051	
943728	19760630000000	1976KUWAIT03130	
943729	19760630000000	1976LAGOS07524	
943730	19760630000000	1976LISBON04395	
943731	19760630000000	1976LONDON10176	
943732	19760630000000	1976LIMA06036	
943733	19760630000000	1976KUWAIT03140	
943734	19760630000000	1976LONDON10205	
943735	19760630000000	1976MAZATL00265	
943736	19760630000000	1976STATE162341	
943737	19760630000000	1976STATE162344	
943738	19760630000000	1976STATE162346	
943739	19760630000000	1976STATE162343	
943740	19760630000000	1976STATE162336	
943741	19760630000000	1976STATE162255	
943742	19760630000000	1976STATE162271	
943743	19760630000000	1976STATE162287	
943744	19760630000000	1976STATE162280	
943745	19760630000000	1976STATE162257	
943746	19760630000000	1976STATE162288	
943747	19760630000000	1976STATE162380	
943748	19760630000000	1976STATE162395	
943749	19760630000000	1976STATE162406	
943750	19760630000000	1976STATE162381	
943751	19760630000000	1976STATE162379	
943752	19760630000000	1976STATE162374	
943753	19760630000000	1976STATE162842	
943754	19760630000000	1976STATE162611	
943755	19760630000000	1976STATE162610	
943756	19760630000000	1976STATE162793	
943757	19760630000000	1976STATE162554	
943758	19760630000000	1976STATE162579	
943759	19760630000000	1976STATE162581	
943760	19760630000000	1976STATE162580	
943761	19760630000000	1976STATE162577	
943762	19760630000000	1976STATE162593	
943763	19760630000000	1976STATE162550	
943764	19760630000000	1976STATE162828	
943765	19760630000000	1976STATE162837	
943766	19760630000000	1976STATE162838	
943767	19760630000000	1976STATE162836	
943768	19760630000000	1976STATE162827	
943769	19760630000000	1976STATE162797	
943770	19760630000000	1976STATE162812	
943771	19760630000000	1976STATE162814	
943772	19760630000000	1976STATE162809	
943773	19760630000000	1976MAZATL00266	
943774	19760630000000	1976STATE161950	
943775	19760630000000	1976STATE161938	
943776	19760630000000	1976SEVILL00249	
943777	19760630000000	1976STATE162181	
943778	19760630000000	1976MELBOU01200	
943779	19760630000000	1976PARIS19137	
943780	19760630000000	1976PARIS19216	
943781	19760630000000	1976PARIS19154	
943782	19760630000000	1976OUAGAD01999	
943783	19760630000000	1976ROME10615	
943784	19760630000000	1976STATE162549	
943785	19760630000000	1976STATE162442	
943786	19760630000000	1976STATE162470	
943787	19760630000000	1976STATE162527	
943788	19760630000000	1976STATE162466	
943789	19760630000000	1976STATE162444	
943790	19760630000000	1976STATE162411	
943791	19760630000000	1976STATE162208	
943792	19760630000000	1976STATE162285	
943793	19760630000000	1976STATE162326	
943794	19760630000000	1976STATE162347	
943795	19760630000000	1976STATE162286	
943796	19760630000000	1976STATE162282	
943797	19760630000000	1976STATE162261	
943798	19760630000000	1976QUITO04660	
943799	19760630000000	1976JIDDA04620	
943800	19760630000000	1976ANKARA05028	
943801	19760630000000	1976STATE162272	
943802	19760630000000	1976STATE162372	
943803	19760630000000	1976STATE162299	
943804	19760630000000	1976NAIROB06765	
943805	19760630000000	1976SEOUL04963	
943806	19760630000000	1976TOKYO09876	
943807	19760630000000	1976STATE162995	
943808	19760630000000	1976STATE162719	
943809	19760630000000	1976STATE162717	
943810	19760630000000	1976STATE162974	
943811	19760630000000	1976NAIROB06740	
943812	19760630000000	1976STATE162258	
943813	19760630000000	1976BELGRA04329	
943814	19760630000000	1976STATE162979	
943815	19760630000000	1976GABORO01235	
943816	19760630000000	1976KABUL04968	
943817	19760630000000	1976OSLO03235	
943818	19760630000000	1976MOGADI01039	
